Transcript,valence,arousal,dominance,emotion,original_emotion,Audio_Uttrance_Path
Behave exquisitely.,4.0,3.5,3.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F006.wav
With the most perfect poise.,3.0,3.5,3.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M007.wav
Certainly I shall probably do a court curtsy.,3.5,3.5,3.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F007.wav
"Things that ought to matter dreadfully don't matter at all when one's happy, do they?",3.5,3.0,3.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M008.wav
What is so horrible is that one can't stay happy.,2.5,3.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F008.wav
"Don't say that, my darling.",2.5,3.0,4.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M009.wav
It's true the whole business is very poor joke.,2.0,3.5,4.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F009.wav
Meaning that sacred and beautiful thing love.,2.5,2.5,3.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M010.wav
"Yes, meaning just that.",4.0,2.5,4.0,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F010.wav
What does it all mean?  That's what I asked myself in my ceaseless quest for ultimate truth.  Dear God what does it all mean?,2.0,2.5,4.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M011.wav
Don't laugh at me.  I'm serious.,2.0,3.0,4.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F011.wav
"You mustn't be serious, my darling.  It's just what they want.",2.5,3.5,4.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M012.wav
Who's they?,3.5,3.0,3.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F012.wav
All the futile moralists who try to make life unbearable.,2.0,3.5,4.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M013.wav
"Laugh at them, be flippant, laugh at everything, all their sacred shibboleths",2.0,3.5,4.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M014.wav
flippancy brings out the acid in their damn sweetness and light.,2.0,3.0,4.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M015.wav
"If I must laugh at everything, I must laugh at us too.",3.5,3.5,4.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F013.wav
Certainly you must.  We are figures of fun alright.,2.5,3.0,3.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M016.wav
"Oh, how long will it last, this ludicrous, over-bearing love of ours?",4.5,3.5,4.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F014.wav
Well who knows?,2.5,3.5,3.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M017.wav
We always want to bicker and fight.,2.0,3.5,2.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F015.wav
No that fire will fade long with our passion.,3.0,3.5,3.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M018.wav
"Oh, dear shall we like that?",2.0,3.5,4.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F016.wav
It all depends on how well we've played.,3.0,3.0,3.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M019.wav
What happens if one of us dies?  Does the one that's left still laugh?,2.5,4.5,4.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F017.wav
Yes.  Yes.  with all his might.,3.0,2.5,4.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M020.wav
"Well that's serious enough, isn't it?",2.0,3.5,3.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F018.wav
"No, no it isn't.  Death is very laughable such a cunning little mystery.  All done with mirrors.",2.0,3.5,4.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M021.wav
"Darling, I believe you're talking nonsense.",4.0,3.5,3.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F019.wav
So is everyone else in the long run.  Let's be superficial and pity the poor philosophers.,2.0,3.0,4.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M022.wav
Let's blow trumpets and squeakers and enjoy the party as much as we can like small quite idiotic little school children.,3.0,3.5,4.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M023.wav
Let's savor the delight of the moment.  Come and kiss me darling before your body rots and worms pop in and out of your eye sockets.,3.0,3.5,4.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M024.wav
"Elliott, worms don't pop.",4.0,3.0,3.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F020.wav
"I don't mind what you do, see. you can paint yourself green all over",3.5,2.5,3.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M025.wav
and dance naked in the place Place Vendome and rush away with all the men in the world and I shan't say a word as long as you love me best.,3.5,3.0,4.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M026.wav
"Thank you, dear.  The same applies to you except that if I catch you so much as looking at another woman, I'll kill you.",4.0,3.5,4.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F021.wav
Do you remember that awful scene in Venice?,3.0,3.0,3.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M027.wav
Which particular one?,3.5,3.0,3.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F022.wav
The one where you bought that little painted wooden snake and put it on my bed.,2.5,3.0,4.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M028.wav
"Oh, Charles.  That was his name.  Charles he did wriggle so beautifully.",4.5,4.0,4.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F023.wav
Horrible thing.  I hated it.,2.0,3.5,4.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M029.wav
"Yes, I know you did.  You threw him out of the window into the Grand Canal.  I don't think I'll ever forgive you for that.",2.0,4.0,4.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F024.wav
How long did that row last?,3.0,3.0,3.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M030.wav
It went on intermittently for days.,3.0,3.0,4.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F025.wav
The worst one was in Cannes when your curling irons burnt holes in my dressing gown.,2.0,3.5,4.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M031.wav
It burnt my comb too and all the towels in the bathroom.,4.0,3.5,4.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F026.wav
"Ah, we were much younger then.  That was a rouser wasn't it?",3.0,3.5,3.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M032.wav
That was the first time you ever hit me.,3.0,3.5,3.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F027.wav
You didn't hit me- I didn't hit you very hard.,3.0,4.0,3.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M033.wav
Then the manager came in and found us rolling about on the floor biting and scratching like panthers.,4.0,4.5,4.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F028.wav
I shall never forget his face.,3.5,3.5,3.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M034.wav
"How ridiculous.  How utterly, utterly ridiculous.",4.5,4.0,4.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F029.wav
We were very much younger then.,3.5,3.0,3.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M035.wav
And very much sillier.,4.0,4.0,3.5,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_F030.wav
"As a matter of fact, the real cause of that row was Peter Burden.",2.5,3.0,4.0,Happy,Excited,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04F_script03_1/Ses04F_script03_1_M036.wav
It's only going to be a year.,2.5,2.0,1.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M000.wav
It's the first year of your child's life.,2.0,3.5,3.0,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F000.wav
There's really -- there's nothing I can do.,2.0,2.0,2.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M001.wav
You're just fine with this?,2.0,3.0,3.0,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F001.wav
There's nothing I --,2.0,3.0,2.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M002.wav
You're just going to pick up and leave me and our baby and miss a year of our lives?,2.0,4.0,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F002.wav
"It's -- look, it's only a year.  It'll go by quickly.  Okay.",2.0,2.0,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M003.wav
"When you get back, think of all of the things that you're going to have missed.",2.0,4.0,3.0,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F003.wav
"I know, but I'll be back then.  And - and- and we'll have -- we have the rest of our lives.",2.0,2.5,2.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M004.wav
Don't go.,2.0,3.0,1.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F004.wav
I can't do that.  I have to go.,2.0,2.0,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M005.wav
"Do you want to -- do you want to leave us behind?  I mean, I don't understand why you have to do this.",2.0,3.5,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F005.wav
I've made a pledge.  I can't not do this at this point.,2.5,2.5,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M006.wav
"You've made a pledge to us, too.  Remember that day, we stood in front of each other and said 'til death do us part.  Put on some rings and it's supposed to mean something.",2.0,3.0,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F006.wav
I know that. I know that. I know that.,2.0,3.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M007.wav
"There's nothing I can do.  I mean, I have to go.",2.0,2.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M008.wav
"And this is what I do.  This is -- I mean, this is my life.  And I know that you're part of my life, too, and I mean, it's only -- it's just going to be a year.  I'll be back.",2.5,3.0,2.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M009.wav
Can't you ask them?  Can't you go back and ask them if you could -- I don't know if you could change  assignments or something and you could stay here?,1.5,3.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F007.wav
It's not- it's not- It's not like that.  It's not like that.  I can't do that.,2.5,2.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M010.wav
"Why not?  You could, at least, try.  They have to understand",1.5,3.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F008.wav
Because it's impossible.  There's -- I just can't.  I can't.,2.5,3.5,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M011.wav
You won't even know your child when you come back.  This -- isn't there someone you could talk to?,1.5,3.5,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F009.wav
Explain the situation to them and then you can stay here.,2.0,3.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F010.wav
"Look, honey, it's- it's- it's only going to be a year.",2.0,3.0,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M012.wav
It's only going to be a year. I'm not going to miss my son's entire life.,2.5,3.5,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M013.wav
"And what happens if, at the end of that year, they ask you to stay longer?  Are you just going to agree?  Are you just going to absentmindedly brainwashedly do whatever it is they tell you to do?",2.0,4.5,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F011.wav
I'm not going to stay more than a year.  I've  agreed to a year,2.5,2.0,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M014.wav
Then why do you have to go a year at all?,2.0,3.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F012.wav
Because I've already agreed to that.,2.5,3.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M015.wav
Well unagree.  Tell them that you can't leave right now.  I can't do this by myself.  I can't do this without you.,2.0,4.0,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F013.wav
"Yes, you can.  Yes, you can.  You know you can.  You're a strong person.",2.5,3.0,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M016.wav
This is supposed to be a partnership.  We're supposed to do this together. I'm not supposed to be left here to do this by myself while you leave.,1.5,3.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F014.wav
It is. It is. It is. It is. I'm going to write you every day.,2.5,3.5,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M017.wav
"What am I supposed to do, read your letters?",2.0,2.5,3.0,Sad,Other despair,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F015.wav
What else can we do?  I -- we don't have a choice in this.  Do you understand?  You can't come with me and I can't stay here.  That's all there is to it.,2.0,3.0,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M018.wav
"There has to be something.  I mean, we can't just live with this.  It's not -- it just won't work this way.",1.0,3.5,3.0,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F016.wav
We don't have a choice.  I have to do this.,2.5,2.0,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M019.wav
Just tell them no.,1.5,4.0,2.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F017.wav
"I can't do it.  I'd love to.  I mean, I don't - if you understand, I don't want to stay.",2.5,2.0,2.0,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M020.wav
"I mean, I don't want to -- I don't want to leave.  I want to stay here with you.",2.5,3.0,2.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M021.wav
"Then, can't you please try something?  If you go and ask them and they say no, then I would understand, but you're not even willing to ask.",1.5,3.0,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F018.wav
Can't you just make an effort?  Can't you just try?,2.0,3.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F019.wav
I've asked already.  I can't go back.,2.5,3.0,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M022.wav
"It can't happen.  I have to go.  I want to stay really bad, but I can't.  There's just no -- I don't have an option.",2.5,2.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M023.wav
When do you leave?,2.0,1.5,1.5,Sad,Sadness,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F020.wav
Next week.,1.5,2.0,1.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M024.wav
A week.  You're giving me a week to be okay with this.,1.5,2.5,3.0,Angry,Anger,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F021.wav
"You can't make it out like I'm happy about this.  I mean, I didn't -- I didn't want to put you in this situation.",2.0,3.0,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M025.wav
Well it doesn't seem like you're that bothered by it.,1.5,3.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F022.wav
"I am.  I mean, I don't know.  I don't know what else to tell -- you know, I mean, I can tell you.  I don't know what else to do. I mean, I've been forced into this situation.",2.5,3.5,3.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M026.wav
"If you really cared so much, you'd find a way out.",1.5,2.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F023.wav
There's nothing I can do.  I-- I,2.5,2.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M027.wav
"Fine, fine.  We have to be together.  If you can't stay here, then I'll go with you.  I don't care where you go.  We'll go, too.  I'm not staying behind.",2.0,3.0,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F024.wav
They won't let you come along.  It's not going to happen.,1.5,2.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M028.wav
"It's a free world.  I can go where I want.  Wherever you are, that's where we're going to go.",2.5,3.0,4.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F025.wav
Are you kidding? Please don't be difficult about this.,2.5,3.0,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M029.wav
Difficult.  You're leaving for a year. We have a newborn child and you're leaving.  I don't think I'm being difficult.,2.0,4.5,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F026.wav
[BREATHING],2.5,2.0,2.0,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M030.wav
"I'm finding a way to make it work.  And I will go wherever you go.  Whatever I have to do, I will make this work.",2.0,4.5,3.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_F027.wav
"Look, I--",2.5,2.5,2.5,Angry,Frustration,/content/drive/My Drive/CS 297/IEMOCAP/Session4/Audio_Uttrances/Ses04M_impro02/Ses04M_impro02_M031.wav
