utterance_id,text,emotion,valence,arousal,dominance
Ses01M_impro05_F021,: ...and your future...,neutral,0.0,-0.25,0.0
Ses01M_impro05_F022,: No.,neutral,0.0,-0.25,0.0
Ses01M_impro05_F023,: Yes.,neutral,0.0,-0.25,0.0
Ses01M_impro05_F024,: We've actually...,neutral,0.0,0.0,0.25
Ses01M_impro05_F025,: They do as matter of fact.  We don't like to publicize it because,neutral,0.0,0.0,0.0
Ses01M_impro05_F026,: people wouldn't Fly our airline.,neutral,0.0,-0.5,0.0
Ses01M_impro05_F027,: What was that?,neutral,0.0,-0.25,-0.25
Ses01M_impro05_F028,: That's unfortunate.,neutral,-0.25,-0.5,0.0
Ses01M_impro05_F029,: That's too bad.,neutral,-0.25,-0.25,-0.25
Ses01M_impro05_F030,: I wish I could give it to you.,neutral,-0.25,-0.25,0.25
Ses01M_impro05_F031,: I wish I-,neutral,-0.25,0.0,-0.25
Ses01M_impro05_F032,: That's not - no.,neutral,-0.5,-0.25,0.25
Ses01M_impro05_F033,: No.,neutral,0.0,-0.25,0.0
Ses01M_impro05_F034,: We have plenty of aggressive searching going on it's not there.  Someone's taken it.,neutral,-0.5,0.25,0.25
Ses01M_impro05_F035,: You know I don't need to take this sort of abuse.,angry,-0.25,-0.25,0.25
Ses01M_impro05_M000,": Yes, please help me.  Where is my bag?",angry,-0.75,0.25,0.75
Ses01M_impro05_M001,": Where is my bag?  Come on, I've been here for four hours.",angry,-0.75,0.5,0.75
Ses01M_impro05_M002,": Okay, I'm coming in from Atlanta.",angry,-1.0,0.5,0.75
Ses01M_impro05_M004,: Are you insinuating that I don't have a college education and that- for some reason that makes you a better person than I am?,angry,-0.75,0.5,0.75
Ses01M_impro05_M005,": Listen, shut your smug mouth, okay?  I don't need that.",angry,-1.0,0.75,1.0
Ses01M_impro05_M006,: I've been sitting here for four hours.,angry,-1.0,0.75,1.0
Ses01M_impro05_M007,: You people have just been tossing me around like a used hanky.,angry,-1.0,0.75,0.75
Ses01M_impro05_M008,: You work here.,angry,-1.0,0.5,1.0
Ses01M_impro05_M009,: My bag from Atlanta.,angry,-0.75,0.0,0.5
Ses01M_impro05_M010,: It's a little black bag with wheels.,angry,-0.75,0.5,0.75
Ses01M_impro05_M015,: Okay.,neutral,-0.25,-0.5,0.0
Ses01M_impro05_M018,: Where is it?  Where did it go?,angry,-0.5,0.25,0.25
Ses01M_impro05_M020,: Probably people that work for your company huh?,angry,-0.5,0.0,0.25
Ses01M_impro05_M021,: Do you know what was in that little bag that I could have just easily put in overhead compartment but no I had to check?,angry,-0.75,0.5,0.75
Ses01M_impro05_M022,: My computer which has all of my data which I'm collecting right now.,angry,-0.75,0.5,0.75
Ses01M_impro05_M023,: Yeah it's really unfortunate you know why because I'm going to get fired if I don't get that.  So I need to have that back.,angry,-1.0,0.25,1.0
Ses01M_impro05_M024,": Fifty dollars is not going to cover me for my job, okay?",angry,-0.75,0.5,0.75
Ses01M_impro05_M025,: Well you need to find it. Can I just go back there and look through the bags?  Can I just go back there and just go through maybe I'll find it.,angry,-0.5,0.75,0.5
Ses01M_impro05_M026,: It'll be a lot more than what you're doing sitting here and just give me lip service.  I'd like to go back at least do some aggressive searching for my stuff.,angry,-0.75,1.0,0.75
Ses01M_impro05_M027,": Sure, yeah right you have plenty of aggressive searching going on, aggressive searching, drinking coffee and smoking cigarettes.",angry,-0.75,0.5,0.5
Ses01M_impro05_M028,: I know what you guys do when you're not working you're union people; you just sit around on your ass.,angry,-0.75,0.75,0.75
Ses01M_impro05_M030,: [BREATHING],angry,-0.75,-0.25,0.0
Ses01M_impro05_M031,: Thank you very much.,angry,-1.0,1.0,0.75
Ses01F_impro02_F000,: Did you get the mail? So you saw my letter?,sad,-0.25,-0.5,-0.75
Ses01F_impro02_F001,: Yeah.  I know.,sad,-0.5,-0.75,-0.75
Ses01F_impro02_F002,: I don't know.  I put in that. request too. They didn't...,sad,-0.5,-0.75,-0.75
Ses01F_impro02_F003,": I guess, you know, everybody has to make sacrifices.",neutral,-0.5,-0.5,-0.5
Ses01F_impro02_F004,": There's people that have given more though, you know?",sad,-0.25,-0.5,-0.25
Ses01F_impro02_F005,: I know.,sad,-0.5,-0.5,-0.25
Ses01F_impro02_F006,": There's babies over there, though, that need mothers.",neutral,-0.25,-0.25,-0.25
Ses01F_impro02_F008,": Just, you know, kicking myself.",sad,-0.75,-0.5,-0.75
Ses01F_impro02_F010,: things just aren't what they seem.,sad,-0.5,-0.75,-0.5
Ses01F_impro02_F012,": If not me then, who?",sad,0.25,-0.5,-0.75
Ses01F_impro02_F013,": You'll videotape everything, yeah?",sad,-0.75,-0.5,-0.5
Ses01F_impro02_F014,": Maybe you can send it to me, like stream it, yeah?",sad,-0.75,-0.5,-0.5
Ses01F_impro02_F015,: Last month--  Yeah.,sad,-0.5,-0.25,-0.25
Ses01F_impro02_F016,: I have to find sitters.,neutral,-0.5,-1.0,-0.25
Ses01F_impro02_F017,": We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",sad,0.25,0.0,-0.25
Ses01F_impro02_F018,: And your mother is close by.,neutral,-0.25,-0.25,-0.25
Ses01F_impro02_F019,: I'll send you lots of letters.,sad,-0.25,-0.75,-0.5
Ses01F_impro02_F020,: And I want lots and lots and lots of pictures.,sad,0.5,-0.5,-0.25
Ses01F_impro02_M001,": I don't understand.  You've already done so much, I don't know why do you have to go back.",sad,-0.5,-0.25,-0.25
Ses01F_impro02_M003,: I just don't see how they can make you leave when you have a new baby - we have a new kid.,angry,-0.5,0.0,0.0
Ses01F_impro02_M005,: I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,sad,-0.5,0.0,-0.75
Ses01F_impro02_M008,: I know.,angry,-0.25,-0.75,-0.5
Ses01F_impro02_M009,: I just don't see why it has to be you.,sad,-0.5,-0.75,-0.25
Ses01F_impro02_M010,: What am I going to do? Huh?,sad,-0.5,-0.5,-0.75
Ses01F_impro02_M011,: Yeah.,sad,-0.25,-0.75,-0.25
Ses01F_impro02_M012,: Don't you guys have access to computers over there.,neutral,-0.25,-0.5,-0.5
Ses01F_impro02_M013,: I just don't know how I'm going to do it without you.,sad,-0.75,-0.5,-0.5
Ses01F_impro02_M014,: I can't raise a baby by myself.  How?,sad,-0.75,0.0,-0.75
Ses01F_impro02_M015,: I know.,neutral,0.0,0.0,-0.75
Ses01F_impro02_M016,: It's just not fair.,angry,-0.5,-0.75,-0.25
Ses01F_impro04_F000,": Uh, what?  Craig's List?  Oh the internet thing?",neutral,0.0,0.0,0.0
Ses01F_impro04_F001,: I don't know.  Isn't that-- that's all like escort services and things like that.,neutral,-0.25,-0.25,0.0
Ses01F_impro04_F002,": I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.",angry,-0.25,0.25,0.0
Ses01F_impro04_F005,: He just...,neutral,0.0,-0.5,-0.25
Ses01F_impro04_F006,: you know what?  I heard about that job.  I applied for that.,neutral,0.0,0.25,0.25
Ses01F_impro04_F007,: Yeah.  I saw a posting at the theatre.,angry,0.0,0.25,0.5
Ses01F_impro04_F009,: Yeah.,neutral,-0.25,-0.25,-0.25
Ses01F_impro04_F013,: I just- I mean I call people up and I tell them what I'm good at.,neutral,0.0,0.25,0.25
Ses01F_impro04_F014,: Yeah.,neutral,-0.25,0.0,-0.25
Ses01F_impro04_F016,: I'm there in front of them.  I'm telling them what I'm good at.,angry,-0.5,0.5,0.25
Ses01F_impro04_F017,: Why?  It's a piece of paper.,angry,-0.5,0.75,0.5
Ses01F_impro04_F018,": I just don't want this paper trail, you know.  I just don't want things following me around, like-.",angry,-0.5,0.75,0.25
Ses01F_impro04_F019,": It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but...",angry,0.0,0.25,0.0
Ses01F_impro04_F021,": That's baloney, that's baloney.",angry,-0.5,-0.5,0.0
Ses01F_impro04_F022,: Please.,angry,-0.5,-0.5,-0.25
Ses01F_impro04_F023,: you think that you're better than me because I don't have a car?,angry,-0.5,-0.25,0.0
Ses01F_impro04_F024,": You know, you're riding the bus, too.",angry,-0.25,-0.25,0.25
Ses01F_impro04_F025,: Why?  What choice?,angry,-0.25,-0.25,0.0
Ses01F_impro04_F026,: You're saving the environment. mmhmm,angry,-0.25,-0.5,0.25
Ses01F_impro04_F027,: Interesting.  That's fantastic.,angry,-0.25,-0.5,0.0
Ses01F_impro04_F028,: I'm not frustrated.,angry,-0.5,0.25,0.25
Ses01F_impro04_F029,: Who do you think you are?,angry,-0.75,0.5,0.5
Ses01F_impro04_F030,: You are so high and mighty.  I just--,angry,-0.75,0.25,0.5
Ses01F_impro04_F031,: Oh.  I'm saving the environment. I'm riding this car because I- I want to.,angry,-0.75,0.0,0.25
Ses01F_impro04_F032,": The bus, I'm riding the bus because I want to.",angry,-0.5,0.25,0.25
Ses01F_impro04_F033,: I can not-- you are not here by choice.  Nobody would ride this bus by choice.,angry,-0.75,0.25,0.75
Ses01F_impro04_M000,": Have you tried, uh, Craig's List?",neutral,0.0,-0.25,-0.25
Ses01F_impro04_M001,: Yeah.,neutral,0.0,-0.25,-0.5
Ses01F_impro04_M002,: No.  There's regular jobs on there.,neutral,0.0,-0.25,0.0
Ses01F_impro04_M003,: Uh huh.,neutral,0.0,-0.25,-0.25
Ses01F_impro04_M004,: I'm just saying I have a friend that got a good job on it so I was just recommending it.,neutral,0.0,0.0,0.0
Ses01F_impro04_M005,: He's like a manager for a theatre.,neutral,0.0,0.0,0.0
Ses01F_impro04_M006,: He's like a house manager. Yeah.  It's a good job.,neutral,0.0,0.25,-0.25
Ses01F_impro04_M007,: You did?,neutral,0.25,0.0,-0.25
Ses01F_impro04_M008,: Yeah.,neutral,0.0,0.0,-0.25
Ses01F_impro04_M009,: You've been looking for a job for a long time; that was a long time ago.  Right?,neutral,0.0,0.0,0.0
Ses01F_impro04_M010,: Hmm.,neutral,0.0,-0.25,-0.5
Ses01F_impro04_M011,: I don't know.  He had a really good resume I guess and--,neutral,0.0,0.0,-0.25
Ses01F_impro04_M012,: Yeah.  Do you have a resume?,neutral,0.0,0.0,-0.25
Ses01F_impro04_M013,: It's kind of helpful when getting a job.,neutral,0.0,-0.5,0.0
Ses01F_impro04_M014,: Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,neutral,0.25,0.25,0.25
Ses01F_impro04_M015,": No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",neutral,-0.25,0.25,0.0
Ses01F_impro04_M016,": Yeah.  But the piece of paper helps, too.",neutral,0.0,-0.25,-0.25
Ses01F_impro04_M017,": No.  But it has an outline, you know.",neutral,0.0,0.25,0.0
Ses01F_impro04_M018,": I know.  Okay.  Well, um. Maybe--",neutral,0.0,0.25,0.0
Ses01F_impro04_M019,: Yeah.,neutral,0.0,-0.25,-0.25
Ses01F_impro04_M020,": Okay, yeah.  I would imagine.",neutral,0.0,-0.25,-0.25
Ses01F_impro04_M021,": Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",neutral,0.25,0.25,0.0
Ses01F_impro04_M022,: maybe get a car.,neutral,0.0,-0.25,-0.25
Ses01F_impro04_M023,": I just, you know, think you should try a little harder maybe.",neutral,-0.25,-0.25,-0.5
Ses01F_impro04_M024,: I didn't say that.,neutral,0.0,-0.25,0.0
Ses01F_impro04_M025,": I am riding the bus, but by choice.",neutral,0.0,0.25,0.25
Ses01F_impro04_M026,": To save the environment, carpool.",neutral,0.25,0.0,0.0
Ses01F_impro04_M027,: Yes.  One less car at a time.,neutral,0.25,0.25,0.25
Ses01F_impro04_M028,: Mmhmm.,neutral,0.0,-0.25,-0.5
Ses01F_impro04_M029,": You know, you don't have to take out your frustration on me, you know, just because...",angry,-0.25,0.25,0.25
Ses01F_impro04_M030,: ...you can't get a job and refuse to have a resume.,angry,-0.25,-0.25,0.0
Ses01F_impro04_M031,: I don't think I'm anyone.,neutral,0.0,-0.25,-0.25
Ses01F_impro04_M032,: I- I-I didn't-- okay.,neutral,-0.25,-0.5,-0.75
Ses01F_impro04_M034,: What? Oh.  So now you're...,angry,-0.25,-0.5,-0.5
Ses01F_impro04_M035,: you know what?  You don't have to take your anger and your hurt out on me.,angry,-0.5,0.25,0.0
Ses01F_impro05_F000,: Hi.,angry,0.5,-0.5,-0.75
Ses01F_impro05_F001,: Yeah. This is the fourth line that I have been in.,angry,-0.5,-0.25,-0.25
Ses01F_impro05_F002,: I need my bag.,angry,-0.25,-0.25,0.25
Ses01F_impro05_F003,": I flew in over three hours ago, I've been in four different lines.",angry,-0.5,0.0,0.25
Ses01F_impro05_F004,: I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.,angry,-0.5,0.25,0.25
Ses01F_impro05_F005,: Nash.,angry,-0.25,0.0,0.0
Ses01F_impro05_F007,: Yes.,angry,-0.25,0.0,0.25
Ses01F_impro05_F008,: Flight seven fourteen.,angry,-0.25,-0.25,0.25
Ses01F_impro05_F009,": Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",angry,-0.25,-0.25,0.25
Ses01F_impro05_F011,: Is this a joke?,angry,-0.5,0.75,0.25
Ses01F_impro05_F012,": Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.",angry,-0.25,0.25,0.0
Ses01F_impro05_F014,": You're kidding me, this is a joke.",angry,-0.75,0.5,0.5
Ses01F_impro05_F015,: Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.,angry,-0.75,0.75,0.75
Ses01F_impro05_F016,: We flew in from Paris.  I've been shopping for three weeks.,angry,-0.75,0.75,0.5
Ses01F_impro05_F017,: I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,angry,-0.75,1.0,0.75
Ses01F_impro05_F018,: Do you understand who my husband is?,angry,-0.75,0.5,0.5
Ses01F_impro05_F019,": If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",angry,-0.75,0.5,0.75
Ses01F_impro05_F020,: Oh-Oh.  It's a gift.  You're-You're helping me out here?,angry,-0.75,0.75,0.75
Ses01F_impro05_F021,: You are cruising for a bruising.  You are in so much trouble.,angry,-0.75,0.75,0.75
Ses01F_impro05_F022,: Who's in charge?  Who is the president of Jet Blue?,angry,-0.75,0.75,0.5
Ses01F_impro05_F023,: Because I probably know him.,angry,-0.5,0.0,0.5
Ses01F_impro05_F024,: Yeah.,angry,-0.5,0.0,0.5
Ses01F_impro05_F025,": I don't want money, I want my clothes.",angry,-0.75,0.75,0.75
Ses01F_impro05_F026,: What's your name?,angry,-0.5,0.25,0.25
Ses01F_impro05_F028,: Okay.  I'll do that.,angry,-0.5,0.0,0.5
Ses01F_impro05_F029,: I don't think you have done everything you could do because I don't have my bag here yet.,angry,-0.75,0.0,0.25
Ses01F_impro05_F030,: A letter? I'll make a personal phone call.,angry,-0.5,0.0,0.25
Ses01F_impro05_M000,: Hi.  Thanks for waiting.,neutral,0.5,-0.25,-0.5
Ses01F_impro05_M001,: Can I help you?,happy,0.5,-0.25,-0.5
Ses01F_impro05_M002,: Uh huh.,happy,0.5,-0.25,-0.5
Ses01F_impro05_M003,: Okay.,neutral,0.5,-0.25,-0.5
Ses01F_impro05_M004,: Okay.,neutral,0.25,-0.75,-0.5
Ses01F_impro05_M005,: Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.,neutral,0.25,-0.25,-0.5
Ses01F_impro05_M006,: Okay.,neutral,0.25,-0.25,-0.5
Ses01F_impro05_M007,: all right- okay.  And you lost your bag? Is that- that the issue?,neutral,0.25,-0.25,-0.5
Ses01F_impro05_M008,: Uh-huh.,neutral,0.0,-0.25,-0.5
Ses01F_impro05_M009,": Yeah. Yeah, I don't see- I don't see any--",neutral,-0.25,-0.25,-0.5
Ses01F_impro05_M010,": I don't see any record of it, and I-usually when I don't see a record of it, that means um-",neutral,-0.25,-0.25,-0.5
Ses01F_impro05_M011,": we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...",neutral,-0.25,-0.25,-0.5
Ses01F_impro05_M012,": for such an inconvenience and your bag, but",neutral,-0.25,-0.5,-0.75
Ses01F_impro05_M013,: Yeah.,neutral,-0.25,-0.5,-0.75
Ses01F_impro05_M014,": No, no.",neutral,-0.25,-0.25,-0.75
Ses01F_impro05_M015,": No, no.  This is real.",neutral,-0.25,-0.5,-0.75
Ses01F_impro05_M016,": No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...",neutral,-0.25,-0.25,-0.5
Ses01F_impro05_M017,: this is the only track record that we have and if it's not listed here then it's probably not anywhere.,neutral,-0.25,-0.25,-0.25
Ses01F_impro05_M019,: Yes.,neutral,-0.25,-0.5,-0.5
Ses01F_impro05_M020,: I know.,neutral,-0.25,-0.5,-0.5
Ses01F_impro05_M022,: Okay. Calm-,neutral,-0.25,-0.5,-0.5
Ses01F_impro05_M023,": Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",neutral,-0.25,0.25,-0.25
Ses01F_impro05_M024,": We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.",neutral,-0.25,0.0,-0.25
Ses01F_impro05_M025,: It's a gift.,neutral,-0.25,-0.25,-0.5
Ses01F_impro05_M026,": You know, the airlines can not be held responsible for every bag of luggage that comes through here.",neutral,-0.25,-0.25,-0.25
